surrogate_id,max_correlation,time_slide_samples
1,0.001484416793104,1000
2,0.001062504419713,2000
3,0.000720255559978,3000
4,0.000492387592804,4000
5,0.000679712958972,5000
6,0.000558297778724,6000
7,0.001038050722949,7000
8,0.001172310120445,8000
9,0.001129201779217,9000
10,0.000489646776154,10000
11,0.000719189878126,11000
12,0.000642264272488,12000
13,0.000832690605125,13000
14,0.001224732588205,14000
15,0.001098941497447,15000
16,0.000187844422401,16000
17,0.000341615161789,17000
18,0.001138453810006,18000
19,0.000595349558738,19000
20,0.001219019110224,20000
21,0.000502148848972,21000
22,0.000585619913567,22000
23,0.001106950525142,23000
24,0.000494216206837,24000
25,0.000316872498368,25000
26,0.001347493353266,26000
27,0.000677354665489,27000
28,0.000744621468452,28000
29,0.000573833906136,29000
30,0.000570845080465,30000
31,0.000635911238876,31000
32,0.000605988328976,32000
33,0.000383300765660,33000
34,0.000803422966788,34000
35,0.000682713667541,35000
36,0.000885070655204,36000
37,0.000387455382539,37000
38,0.000891833832520,38000
39,0.001299078785452,39000
40,0.001767295869448,40000
41,0.000239536080385,41000
42,0.001030449386529,42000
43,0.000713626491606,43000
44,0.000433053874830,44000
45,0.000654075060546,45000
46,0.001112880907362,46000
47,0.000643352095062,47000
48,0.001262149363633,48000
49,0.000722743365742,49000
50,0.000402245011752,50000
51,0.000405074254468,51000
52,0.000688276412956,52000
53,0.001069242398825,53000
54,0.000381185779746,54000
55,0.000359431225282,55000
56,0.000718931148696,56000
57,0.000844741598239,57000
58,0.001079692543440,58000
59,0.001228425287543,59000
60,0.001262027658730,60000
61,0.000233650669572,61000
62,0.000531025116114,62000
63,0.001382110674221,63000
64,0.000606497772492,64000
65,0.000535470508207,65000
66,0.000945413531611,66000
67,0.000949413382612,67000
68,0.001001660037694,68000
69,0.001003295605448,69000
70,0.000645314662566,70000
71,0.000229191340432,71000
72,0.000457483405923,72000
73,0.000450465164234,73000
74,0.000584168696452,74000
75,0.001047430955968,75000
76,0.001335023601715,76000
77,0.001265093259206,77000
78,0.000628802499749,78000
79,0.000820094872467,79000
80,0.000890354846855,80000
81,0.000926696380926,81000
82,0.000691615255862,82000
83,0.000621518165574,83000
84,0.000697629919956,84000
85,0.000648518146235,85000
86,0.001160973354768,86000
87,0.000898516354917,87000
88,0.000525436466354,88000
89,0.000320466284421,89000
90,0.000531894330791,90000
91,0.001013124253571,91000
92,0.000565846149692,92000
93,0.000414208150707,93000
94,0.000752826638016,94000
95,0.000628752493101,95000
96,0.000962977073564,96000
97,0.000708853604342,97000
98,0.000764624041912,98000
99,0.000525853886180,99000
100,0.000361471126064,100000
101,0.000325015327548,101000
102,0.001263946513262,102000
103,0.000797351612048,103000
104,0.001103516197463,104000
105,0.000698800380098,105000
106,0.001170126208240,106000
107,0.001708962555477,107000
108,0.001441056899172,108000
109,0.000589421687396,109000
110,0.000759267570987,110000
111,0.000680099595805,111000
112,0.000558666303352,112000
113,0.001007362702997,113000
114,0.000786953792135,114000
115,0.000508729794590,115000
116,0.000755005029326,116000
117,0.000532667391745,117000
118,0.000641945378322,118000
119,0.000566723843708,119000
120,0.000923086123077,120000
121,0.001030219572591,121000
122,0.000217774354314,122000
123,0.000214339312488,123000
124,0.000801420572686,124000
125,0.000567397771443,125000
126,0.001259100499572,126000
127,0.001037934882171,127000
128,0.001228975609315,128000
129,0.000445514629918,129000
130,0.000459271752127,130000
131,0.000316995133059,131000
132,0.001477212054014,132000
133,0.000816486550653,133000
134,0.000242445250889,134000
135,0.000467876867983,135000
136,0.000601982395397,136000
137,0.000704218742375,137000
138,0.000586366365405,138000
139,0.000272316961461,139000
140,0.000573566779524,140000
141,0.000543857500759,141000
142,0.000569927441536,142000
143,0.000551755782537,143000
144,0.000828775876423,144000
145,0.001263846026204,145000
146,0.001421202939104,146000
147,0.000256083620323,147000
148,0.000962378061543,148000
149,0.000713854090180,149000
150,0.000607163045624,150000
151,0.000449669403220,151000
152,0.001441261811054,152000
153,0.000910688995211,153000
154,0.000437630469119,154000
155,0.001380776262797,155000
156,0.000898512446011,156000
157,0.000400966678036,157000
158,0.000608888165785,158000
159,0.000687337839535,159000
160,0.000522632175909,160000
161,0.000626606193283,161000
162,0.000413627837633,162000
163,0.000718122551569,163000
164,0.000844037545630,164000
165,0.000978101871980,165000
166,0.000577570313165,166000
167,0.001083001854797,167000
168,0.000246981210937,168000
169,0.000530448271250,169000
170,0.000788016405603,170000
171,0.001229924194804,171000
172,0.000546200657298,172000
173,0.001203584543218,173000
174,0.000965763132365,174000
175,0.000864472604851,175000
176,0.001160224450684,176000
177,0.001063008875254,177000
178,0.000719926619175,178000
179,0.000463345467156,179000
180,0.000641291998085,180000
181,0.000583683924561,181000
182,0.001037669133360,182000
183,0.001336720827647,183000
184,0.001215452711559,184000
185,0.000628537541902,185000
186,0.000779862760208,186000
187,0.000567217287526,187000
188,0.000926135959934,188000
189,0.001225588667650,189000
190,0.001099200864167,190000
191,0.000202724770685,191000
192,0.000542887376062,192000
193,0.001159189466576,193000
194,0.000594840718917,194000
195,0.000777142010099,195000
196,0.000321154394520,196000
197,0.000429402489060,197000
198,0.001107213691754,198000
199,0.000560720302941,199000
200,0.000288679520236,200000
201,0.000883846833373,201000
202,0.000677553786075,202000
203,0.000890693045650,203000
204,0.000709645493215,204000
205,0.000576316046567,205000
206,0.000635493235313,206000
207,0.000604911063757,207000
208,0.000382873808111,208000
209,0.000989916040579,209000
210,0.000803817920840,210000
211,0.000945945870930,211000
212,0.000574973974073,212000
213,0.000990002863321,213000
214,0.001461274835452,214000
215,0.001766946176013,215000
216,0.000294414521196,216000
217,0.001030815415851,217000
218,0.000668232719913,218000
219,0.000525236373218,219000
220,0.000699456821323,220000
221,0.001113068455488,221000
222,0.000643606647660,222000
223,0.001261303003223,223000
224,0.000723295222687,224000
225,0.000354718392746,225000
226,0.000565328938657,226000
227,0.000678135170236,227000
228,0.001069225015291,228000
229,0.000215189739988,229000
230,0.000230803301610,230000
231,0.000761915847747,231000
232,0.000570383835750,232000
233,0.001260424117249,233000
234,0.001227203877792,234000
235,0.001262288933288,235000
236,0.000220972294638,236000
237,0.000281912307206,237000
238,0.001476665819895,238000
239,0.000815826489239,239000
240,0.000535003579261,240000
241,0.000945406779787,241000
242,0.000918917003831,242000
243,0.001000161923381,243000
244,0.001004219414123,244000
245,0.000273365269379,245000
246,0.000201271443259,246000
247,0.000528934475269,247000
248,0.000450398242654,248000
249,0.000489191310191,249000
250,0.001047428877442,250000
251,0.001336457879660,251000
252,0.001332737606491,252000
253,0.000477775721379,253000
254,0.000820948190230,254000
255,0.000889885607712,255000
256,0.000926123313571,256000
257,0.000525499247576,257000
258,0.000895956875797,258000
259,0.000740250318588,259000
260,0.000647929954565,260000
261,0.001380413087719,261000
262,0.000899314294136,262000
263,0.000525058121948,263000
264,0.000608208041058,264000
265,0.000530931111867,265000
266,0.000862651079837,266000
267,0.000626994619075,267000
268,0.000413654850815,268000
269,0.000753806971567,269000
270,0.000799821954122,270000
271,0.000963188289967,271000
272,0.000601134692631,272000
273,0.000874823062251,273000
