body,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,205.2816978598343989601,-109.4012861550497312963,0,4.2802674668625481218,-2.5392041912917334206,0
1,207.0594882500258797716,-2408.19534792617530811007,0,4.6951470745373205008,-53.51750317699239365083,0
2,-594.44511508184785989373,4655.63316965317515729495,0,-13.08758569440223419334,103.17855074813638367227,0
