step,time,body,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,energy,momentum_x,momentum_y
0,0.000000,0,10,5,0,1.5,-1,0,-16830.4598834125886966453,125,950
0,0.000000,1,-8,2,0,-1,2.5,0,-16830.4598834125886966453,125,950
0,0.000000,2,2,-10,0,0.5,0.5,0,-16830.4598834125886966453,125,950
10,0.100000,0,10.1413170095639077459,4.89511897714544394673,0,1.326488194561575169,-1.0971803776019055464,0,-16830.4598834173502266927,124.9999999999999999485,950.0000000000000000542
10,0.100000,1,-8.0923360219165195056,2.24680832392286407257,0,-0.84728159450465905927,2.4361869683972340352,0,-16830.4598834173502266927,124.9999999999999999485,950.0000000000000000542
10,0.100000,2,2.04662442797304581447,-9.9383977556356880674,0,0.4333210366344961037,0.73147991000726539254,0,-16830.4598834173502266927,124.9999999999999999485,950.0000000000000000542
20,0.200000,0,10.26531786272628094057,4.78064375075130061345,0,1.153583066292684342,-1.1919647130730433406,0,-16830.45988342052297091723,124.9999999999999999187,950.00000000000000012197
20,0.200000,1,-8.16955835527155410343,2.4872366900102524143,0,-0.6976262254708606517,2.3723536330082326309,0,-16830.45988342052297091723,124.9999999999999999187,950.00000000000000012197
20,0.200000,2,2.0868236042172602569,-9.8537985429200150833,0,0.37142752629632796237,0.96012111627283327364,0,-16830.45988342052297091723,124.9999999999999999187,950.00000000000000012197
30,0.300000,0,10.37203501635249311424,4.6567903040456521805,0,0.98071936488724994606,-1.28482006868044941375,0,-16830.4598834224474828974,124.99999999999999985634,950.00000000000000016534
30,0.300000,1,-8.23194420149733495557,2.72126925977514372485,0,-0.55046036367247998874,2.30822707511935923543,0,-16830.4598834224474828974,124.99999999999999985634,950.00000000000000016534
30,0.300000,2,2.12105754307221118206,-9.7464330324500413235,0,0.3139654167457640439,1.1869753472016926734,0,-16830.4598834224474828974,124.99999999999999985634,950.00000000000000016534
40,0.400000,0,10.4614439171919053407,4.5237293470244357612,0,0.80732035565200036654,-1.3761865557922217776,0,-16830.45988342331986350363,124.9999999999999998211,950.00000000000000027105
40,0.400000,1,-8.2797157397695094633,2.94886373189238212253,0,-0.4052549319224166339,2.24354957247346745316,0,-16830.45988342331986350363,124.9999999999999998211,950.00000000000000027105
40,0.400000,2,2.14975563095483062357,-9.6164299338356107367,0,0.26067445067794950045,1.4130346364984247185,0,-16830.45988342331986350363,124.9999999999999998211,950.00000000000000027105
50,0.500000,0,10.53346130017534369185,4.3815885131192710104,0,0.63278655112338400853,-1.4664871762219503763,0,-16830.4598834232254479008,124.99999999999999975877,950.00000000000000032526
50,0.500000,1,-8.31304395850483347427,3.1699524712053361866,0,-0.2615133530056726162,2.1780710122276642005,0,-16830.4598834232254479008,124.99999999999999975877,950.00000000000000032526
50,0.500000,2,2.17332556509828782147,-9.4638206639127303517,0,0.2113801740621498979,1.6392567894565448919,0,-16830.4598834232254479008,124.99999999999999975877,950.00000000000000032526
60,0.600000,0,10.5879422889538450569,4.23045360223955069066,0,0.4564829190324664902,-1.556137128454787033,0,-16830.45988342215322741794,124.9999999999999997615,950.000000000000000412
60,0.600000,1,-8.3320513768094337328,3.3844429373739634695,0,-0.1187611916147261754,2.1115423823420017218,0,-16830.45988342215322741794,124.9999999999999997615,950.000000000000000412
60,0.600000,2,2.1921617315123666484,-9.2885416099605950779,0,0.1659906420675473265,1.86658826593014134205,0,-16830.45988342215322741794,124.9999999999999997615,950.000000000000000412
70,0.700000,0,10.6246761117002840449,4.0703689015914172363,0,0.2777238413272458143,-1.6455530179545181635,0,-16830.45988341999476852167,124.99999999999999975605,950.0000000000000004689
70,0.700000,1,-8.33681378490786227046,3.59221749676150302425,0,0.0234631955928339168,2.0437098773906145959,0,-16830.45988341999476852167,124.99999999999999975605,950.0000000000000004689
70,0.700000,2,2.20665347879381123006,-9.09043417608040613196,0,0.12449763834020397164,2.09598584224231552543,0,-16830.45988341999476852167,124.99999999999999975605,950.0000000000000004689
80,0.800000,0,10.6433801612647044299,3.9013365721162336004,0,0.09575485465445967935,-1.73516240886247083387,0,-16830.4598834165275727118,124.99999999999999972353,950.00000000000000057463
80,0.800000,1,-8.3273610794421662914,3.79313266009993417256,0,0.16561748828361020004,1.974309253030012867,0,-16830.4598834165275727118,124.99999999999999972353,950.00000000000000057463
80,0.800000,2,2.2171937494782540046,-8.8692426747193618366,0,0.0869826955041500236,2.3284382351809418424,0,-16830.4598834165275727118,124.99999999999999972353,950.00000000000000057463
90,0.900000,0,10.6436920147563200705,3.7233150434385644433,0,-0.0902701632757545349,-1.8254141840910094482,0,-16830.459883411379053771,124.99999999999999970455,950.0000000000000006939
90,0.900000,1,-8.30367722370538070196,3.98701775493491092036,0,0.3081641465908356078,1.90306011802434180754,0,-16830.459883411379053771,124.99999999999999970455,950.0000000000000006939
90,0.900000,2,2.2241885849621011739,-8.62461001100911699467,0,0.0536287320674013466,2.564988808465396087,0,-16830.459883411379053771,124.99999999999999970455,950.0000000000000006939
100,1.000000,0,10.62515886831610768457,3.53621631069785282304,0,-0.2813182507038632411,-1.9167902425586514233,0,-16830.45988340396228843796,124.99999999999999962324,950.0000000000000008023
100,1.000000,1,-8.26569931980399839834,4.17367301211835155185,0,0.4515795016722124781,1.8296598756665371321,0,-16830.45988340396228843796,124.99999999999999962324,950.0000000000000008023
100,1.000000,2,2.2280681336678678898,-8.356070994650456188,0,0.02473879783465342724,2.80676051487061487336,0,-16830.45988340396228843796,124.99999999999999962324,950.0000000000000008023
110,1.100000,0,10.5872236145107468721,3.33990196930806388113,0,-0.4785158012148292933,-2.00981915685087672856,0,-16830.4598833933665611144,124.99999999999999955277,950.0000000000000008782
110,1.100000,1,-8.21331573536601074545,4.3528670168850231631,0,0.5963636565568549609,1.75377702430598178426,0,-16830.4598833933665611144,124.99999999999999955277,950.0000000000000008782
110,1.100000,2,2.2292999862459230886,-8.0630429935627183584,0,0.00076437965545622053,3.0549843444702848661,0,-16830.4598833933665611144,124.99999999999999955277,950.0000000000000008782
120,1.200000,0,10.529206454515647235,3.1341777553487994446,0,-0.68320025232345957,-2.10509253916860932513,0,-16830.4598833781710917903,124.99999999999999955006,950.0000000000000009568
120,1.200000,1,-8.146363177539141718,4.52433344500692985224,0,0.74305173893503616013,1.67504350301742105134,0,-16830.4598833781710917903,124.99999999999999955006,950.0000000000000009568
120,1.200000,2,2.22840597415167840313,-7.74481350743103307563,0,-0.017652827294913606,3.31103274157097330157,0,-16830.4598833781710917903,124.99999999999999955006,950.0000000000000009568
130,1.300000,0,10.4502804330241554383,2.9187862775374645322,0,-0.8969912094778214208,-2.2032850026082157129,0,-16830.4598833561224096568,124.99999999999999947145,950.00000000000000107065
130,1.300000,1,-8.06462254673393631017,4.68776697111580462404,0,0.89222718053074242194,1.59304572518505617234,0,-16830.4598833561224096568,124.99999999999999947145,950.00000000000000107065
130,1.300000,2,2.2259840644920988245,-7.40052408105340577053,0,-0.02961947358195065667,3.57645969779675774954,0,-16830.4598833561224096568,124.99999999999999947145,950.00000000000000107065
140,1.400000,0,10.34943850639856340046,2.69339753219656668164,0,-1.1218906577677193042,-2.3051787076282583609,0,-16830.4598833235600304438,124.9999999999999994552,950.00000000000000107607
140,1.400000,1,-7.96781332546675740845,4.84281819766096546554,0,1.04453790490342319624,1.5073138821784470203,0,-16830.4598833235600304438,124.9999999999999994552,950.00000000000000107607
