step,time,body,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,energy,momentum_x,momentum_y
0,0.000000,0,10.000000999999999,5,0,1.5,-1,0,-16830.4593614042927003699,125,950
0,0.000000,1,-8,2,0,-1,2.5,0,-16830.4593614042927003699,125,950
0,0.000000,2,2,-10,0,0.5,0.5,0,-16830.4593614042927003699,125,950
10,0.100000,0,10.1413180101861064047,4.89511897763659209357,0,1.32648820698023683104,-1.09718036783345383733,0,-16830.45936140905423037767,124.9999999999999999756,950.00000000000000003524
10,0.100000,1,-8.0923360223872179085,2.24680832380888710354,0,-0.84728160389137344936,2.4361869661780309688,0,-16830.45936140905423037767,124.9999999999999999756,950.00000000000000003524
10,0.100000,2,2.04662442807366334944,-9.9383977560199072995,0,0.4333210386281880115,0.7314799022796888611,0,-16830.45936140905423037767,124.9999999999999999756,950.00000000000000003524
20,0.200000,0,10.26531886520641210467,4.7806437526958542635,0,1.1535830910219807838,-1.19196469381045129846,0,-16830.45936141222697454066,124.9999999999999999458,950.000000000000000084
20,0.200000,1,-8.16955835714438553536,2.4872366895782279874,0,-0.6976262441088250611,2.3723536289245319728,0,-16830.45936141222697454066,124.9999999999999999458,950.000000000000000084
20,0.200000,2,2.0868236046121982374,-9.8537985444758354952,0,0.3714275301695081692,0.9601211005083840074,0,-16830.45936141222697454066,124.9999999999999999458,950.000000000000000084
30,0.300000,0,10.37203602191988074943,4.65679030838358531854,0,0.9807194019071374834,-1.2848200400958010261,0,-16830.45936141415148657374,124.9999999999999999539,950.00000000000000017076
30,0.300000,1,-8.2319442056929150682,2.72126925885589247454,0,-0.55046039148027995155,2.30822706951534397724,0,-16830.45936141415148657374,124.9999999999999999539,950.00000000000000017076
30,0.300000,2,2.12105754394338902243,-9.74643303600090883887,0,0.3139654223759389325,1.18697532298734207296,0,-16830.45936141415148657374,124.9999999999999999539,950.00000000000000017076
40,0.400000,0,10.46144492707834018473,4.5237293546835072612,0,0.8073204050324285379,-1.376186517957826731,0,-16830.4593614150238676847,124.9999999999999998753,950.0000000000000002114
